Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.254354398999497,0.0492785054,31.8310155048877,0.25,59.8389730444,60.66,41.6814069268,41.54,5439.3007165425,4065.5536648226,0.0457958916,19165.0981222027,74.7440503236
Case 7,2.42577878337345,0.0190914473,3.56507373654742,0.028,39.7299869554,39.75,20.3190545988,20.52,3213.560812258,1619.2644327597,0.02558548,51894.6957314584,50.3884795515
Case 10,3.9306039530116887,0.0309542052,5.60225872886023,0.044,49.7627213181,49.53,31.3168439894,31.62,4060.6764892665,2590.4384989118,0.0338987749,30636.402444457,63.7932744891
Case 13,6.415138474604805,0.050548619,7.38479559713394,0.058,60.1484073273,60.57,41.6520028208,41.72,5566.8938631085,4168.8875126886,0.046009161,19034.5080955019,74.8871384151
Case 15,4.957232857809865,0.0390493433,6.11155497693843,0.048,54.7138946389,55.18,36.4360114497,36.58,4670.2066649722,3245.4083062304,0.0392268302,24186.7812096348,69.4917492746
Case 18,3.175164879360844,0.0249989224,5.34761060482113,0.042,45.0480203256,45.17,25.8912469853,26.14,3658.6254681185,2105.677333745,0.0294741442,39236.3660724037,57.5537822085
Case 19,3.1823578529102665,0.0250557853,4.07436998462562,0.032,45.0154300542,45.26,25.7238223495,25.83,3674.9567781871,2110.6187927451,0.029400461,39419.2761469602,57.4324793498
Case 21,6.184008909093963,0.0487211975,6.87549934905573,0.054,59.9221314879,59.84,42.1982612172,42.22,5356.9637998311,4018.5737641463,0.0461886462,18931.1391038277,75.015884264
Case 24,2.264162316370119,0.0178175354,3.43774967452787,0.027,38.651943315,38.67,19.6471126015,19.8,3076.6282035282,1513.1611076719,0.0250206845,54423.2106331539,49.182449343
Case 28,6.569008156766156,0.0517638146,8.02141590723169,0.063,60.489770871,60.96,41.7406757135,41.97,5682.3273904321,4267.3144525714,0.0463236206,18846.2592663247,75.0980040284
Case 32,2.30670095727203,0.0181526308,3.69239779856697,0.029,39.2846637861,39.18,20.7944680784,21.07,3058.6741033339,1540.2404482478,0.0255610675,51997.6664836905,50.35647461
Case 33,2.4483750979810406,0.0192693587,3.31042561250832,0.026,40.1848289568,40.31,21.2942858668,21.39,3182.4500278708,1633.248852017,0.026030098,50058.7956108795,51.3204869743
Case 39,14.23798296834462,0.1122346714,11.4591655817596,0.09,79.3885121509,80.35,61.3058462595,61.13,10093.6423235972,8988.0392810136,0.0828813351,8720.0103382869,89.0465403158
