Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.1843649779545915,0.0329785768,31.8310155048877,0.25,60.1352927715,60.66,41.384961931,41.54,3588.9150752887,2717.3900896105,0.0297532607,29081.641404926,75.7161992581
Case 2,2.4574048591523283,0.0193549393,5.85690685289933,0.046,49.7012978256,49.64,30.988475153,31.42,2510.6174761776,1618.8464209938,0.0172609333,59485.1188931588,64.4800108481
Case 3,2.6761735862201457,0.021081694,5.98423091491888,0.047,50.7666834285,50.78,31.1330846685,31.56,2697.3319730795,1760.9535060115,0.0176766681,57308.0652997963,65.2850121374
Case 4,1.4263147337232358,0.0112249647,4.45634217068427,0.035,40.0608459533,39.91,22.3588413029,22.71,1804.4147222697,950.8384183816,0.0111190516,114074.2206829122,52.6951152995
Case 5,4.163351741178578,0.032812294,8.91268434136855,0.07,59.9305696286,60.04,40.8995931049,41.34,3587.4261341519,2704.8947094144,0.0205665784,42259.0679576624,75.3993143905
Case 6,1.4964615617605956,0.0117783754,4.71099029472337,0.037,39.9266023325,39.82,20.3229258211,20.74,1943.6314883957,998.2076404516,0.012752853,102067.2519239191,51.3578652338
Case 7,1.5087872497728527,0.0118756827,3.56507373654742,0.028,39.9282757437,39.75,20.1211326587,20.52,1964.1480272836,1006.4536127808,0.0154840182,84253.521552145,51.2412302332
Case 8,4.037759257273731,0.0318219274,34.8867929933569,0.274,59.2784860115,59.41,40.3216704314,40.99,3509.8613798754,2625.5803387727,0.0237772082,36865.6785382336,74.805812954
Case 9,2.588299353676924,0.0203884492,6.36620310097753,0.05,50.0965786312,50.17,30.3132030891,30.71,2646.990167845,1704.7420238358,0.0146137393,70317.672228835,64.4030357402
Case 10,2.5183653110781687,0.0198361919,5.60225872886023,0.044,50.0017355656,49.53,31.0779868778,31.62,2561.2364318337,1658.4067170829,0.0211170952,48403.8861555905,64.7502392388
Case 11,3.287734056022847,0.0259051448,7.38479559713394,0.058,55.079220166,55.05,35.9507254621,36.45,3053.78777328,2150.5174958902,0.0205261708,45555.5132921961,70.4213146279
